sample_id,label,data_source,confidence,sample_weight,audio_path,source,channel,domain,url,date
YT_00081,hoax,predicted_hoax,0.90562445,0.8201556444378025,./data/raw/youtube/audio/YT_00081.wav,youtube,METRO TV ,METRO TV ,https://www.youtube.com/watch?v=NRW9r26vlR0,20250807
YT_00867,hoax,predicted_hoax,0.8509966,0.72419521321156,./data/raw/youtube/audio/YT_00867.wav,youtube,Banjarmasin Post News Video,Banjarmasin Post News Video,https://www.youtube.com/watch?v=d-m3fr-LvVo,20250903
YT_00904,hoax,predicted_hoax,0.7720768,0.59610258509824,./data/raw/youtube/audio/YT_00904.wav,youtube,scientialoquendi,scientialoquendi,https://www.youtube.com/watch?v=apEleSRUV-I,20250702
YT_01161,hoax,predicted_hoax,0.7557137,0.57110319636769,./data/raw/youtube/audio/YT_01161.wav,youtube,tvOneNews ,tvOneNews ,https://www.youtube.com/watch?v=32-Lb0EkreM,20251107
YT_00039,hoax,predicted_hoax,0.7114333,0.50613734034889,./data/raw/youtube/audio/YT_00039.wav,youtube,tvOneNews ,tvOneNews ,https://www.youtube.com/watch?v=uebe3zV0AI8,20251015
YT_00046,hoax,predicted_hoax,0.7114333,0.50613734034889,./data/raw/youtube/audio/YT_00046.wav,youtube,tvOneNews ,tvOneNews ,https://www.youtube.com/watch?v=uebe3zV0AI8,20251015
YT_00132,hoax,predicted_hoax,0.7103637,0.50461658627769,./data/raw/youtube/audio/YT_00132.wav,youtube,METRO TV ,METRO TV ,https://www.youtube.com/watch?v=ZzeTtuLuf5E,20250815
YT_00665,hoax,predicted_hoax,0.7081671,0.50150064152241,./data/raw/youtube/audio/YT_00665.wav,youtube,Veritas Aktual,Veritas Aktual,https://www.youtube.com/watch?v=yekw0fusGh4,20251007
YT_00768,hoax,reclassified,0.6999324,0.48990536456976,./data/raw/youtube/audio/YT_00768.wav,youtube,TVAsuransi,TVAsuransi,https://www.youtube.com/watch?v=raZEWUlZlso,20250202
YT_01042,hoax,reclassified,0.6961417,0.48461326647888997,./data/raw/youtube/audio/YT_01042.wav,youtube,Kompas.com,Kompas.com,https://www.youtube.com/watch?v=XdAvKDQWul4,20250910
YT_00011,hoax,predicted_hoax,0.68284506,0.4662773759664036,./data/raw/youtube/audio/YT_00011.wav,youtube,Kompas.com,Kompas.com,https://www.youtube.com/watch?v=E7O5OwNqpxg,20251011
YT_00686,hoax,reclassified,0.68192726,0.46502478793110763,./data/raw/youtube/audio/YT_00686.wav,youtube,TV Tempo,TV Tempo,https://www.youtube.com/watch?v=IB9dlrx5dzE,20250909
YT_00457,hoax,reclassified,0.680788,0.46347230094399994,./data/raw/youtube/audio/YT_00457.wav,youtube,Tribun Sumsel,Tribun Sumsel,https://www.youtube.com/watch?v=OtcMH-lEhro,20251104
